Slant cell length,Cell thickness,Cell angle,Vertical cell length,Poisson's ratio
10,2.8,70,35,-0.00537979
10,3,70,35,0.00006163
10,3.2,70,35,0.00616035
10,3.4,70,35,0.0145388
12,2,70,35,-0.04897377
12,2.2,70,35,-0.05380468
12,2.4,70,35,-0.0612827
12,2.6,70,35,-0.06133396
12,2.8,70,35,-0.05949013
12,3,70,35,-0.05497096
12,3.2,70,35,-0.05113906
12,3.4,70,35,-0.04385756
14,2,70,35,-0.10598603
14,2.2,70,35,-0.11777095
14,2.4,70,35,-0.12845129
14,2.6,70,35,-0.13027305
14,2.8,70,35,-0.13029993
14,3,70,35,-0.12835103
14,3.2,70,35,-0.12639039
14,3.4,70,35,-0.1206816
16,2,70,35,-0.18505532
16,2.2,70,35,-0.19799956
16,2.4,70,35,-0.21590682
16,2.6,70,35,-0.22340257
16,2.8,70,35,-0.22548029
16,3,70,35,-0.22650096
16,3.2,70,35,-0.22514685
16,3.4,70,35,-0.21968082
18,2,70,35,-0.28440919
18,2.2,70,35,-0.30840494
18,2.4,70,35,-0.33268196
18,2.6,70,35,-0.34258544
18,2.8,70,35,-0.34739056
18,3,70,35,-0.35136426
18,3.2,70,35,-0.34966582
18,3.4,70,35,-0.34628099
20,2,70,35,-0.41950143
20,2.2,70,35,-0.45959277
20,2.4,70,35,-0.48805805
20,2.6,70,35,-0.49943367
20,2.8,70,35,-0.50606257
20,3,70,35,-0.50935469
20,3.2,70,35,-0.50965269
20,3.4,70,35,-0.50439154
4,2,70,40,0.03442322
4,2.2,70,40,0.03967169
4,2.4,70,40,0.0443004
4,2.6,70,40,0.05143092
4,2.8,70,40,0.05796703
4,3,70,40,0.06551846
4,3.2,70,40,0.07288212
4,3.4,70,40,0.08037379
6,2,70,40,0.03029143
6,2.2,70,40,0.03389376
6,2.4,70,40,0.03688571
6,2.6,70,40,0.04384866
6,2.8,70,40,0.04814626
6,3,70,40,0.05571778
6,3.2,70,40,0.06261934
6,3.4,70,40,0.07010526
8,2,70,40,0.01813955
8,2.2,70,40,0.0190147
8,2.4,70,40,0.0198754
8,2.6,70,40,0.02388
8,2.8,70,40,0.02847084
8,3,70,40,0.03466008
8,3.2,70,40,0.04110264
8,3.4,70,40,0.04795158
10,2,70,40,-0.00514268
10,2.2,70,40,-0.00566369
10,2.4,70,40,-0.00802994
10,2.6,70,40,-0.00596005
10,2.8,70,40,-0.00325353
10,3,70,40,0.00161069
10,3.2,70,40,0.00626713
10,3.4,70,40,0.01277516
12,2,70,40,-0.04063098
12,2.2,70,40,-0.04486085
12,2.4,70,40,-0.04847303
12,2.6,70,40,-0.04792385
12,2.8,70,40,-0.04929936
12,3,70,40,-0.04635468
12,3.2,70,40,-0.04236692
12,3.4,70,40,-0.03655735
14,2,70,40,-0.09015619
14,2.2,70,40,-0.09696616
14,2.4,70,40,-0.10708912
14,2.6,70,40,-0.10967871
14,2.8,70,40,-0.11029818
14,3,70,40,-0.10961999
14,3.2,70,40,-0.10703007
14,3.4,70,40,-0.10216631
16,2,70,40,-0.15807634
16,2.2,70,40,-0.16921626
16,2.4,70,40,-0.17989276
16,2.6,70,40,-0.1866349
16,2.8,70,40,-0.1898292
16,3,70,40,-0.19119767
16,3.2,70,40,-0.19002057
16,3.4,70,40,-0.18656241
18,2,70,40,-0.24676651
18,2.2,70,40,-0.26350609
18,2.4,70,40,-0.27631887
18,2.6,70,40,-0.2889767
18,2.8,70,40,-0.29476347
18,3,70,40,-0.29655239
18,3.2,70,40,-0.29711664
18,3.4,70,40,-0.29283709
20,2,70,40,-0.3617612
20,2.2,70,40,-0.38296896
20,2.4,70,40,-0.40940149
20,2.6,70,40,-0.4204803
20,2.8,70,40,-0.42774856
20,3,70,40,-0.43107301
20,3.2,70,40,-0.43104577
20,3.4,70,40,-0.42634067
4,2,70,45,0.03012718
4,2.2,70,45,0.03476552
4,2.4,70,45,0.03905554
4,2.6,70,45,0.04432695
4,2.8,70,45,0.05072774
4,3,70,45,0.05665337
4,3.2,70,45,0.06333429
4,3.4,70,45,0.06997508
6,2,70,45,0.02722024
6,2.2,70,45,0.03003604
6,2.4,70,45,0.03325126
6,2.6,70,45,0.03714141
6,2.8,70,45,0.04304282
6,3,70,45,0.04866735
6,3.2,70,45,0.05470765
6,3.4,70,45,0.06148746
8,2,70,45,0.01749906
8,2.2,70,45,0.0174005
8,2.4,70,45,0.01893696
8,2.6,70,45,0.02270677
8,2.8,70,45,0.02582942
8,3,70,45,0.03092476
8,3.2,70,45,0.03626953
8,3.4,70,45,0.04254996
10,2,70,45,-0.00179704
10,2.2,70,45,-0.00360919
10,2.4,70,45,-0.00515874
10,2.6,70,45,-0.00406391
10,2.8,70,45,-0.00126069
10,3,70,45,0.00159745
10,3.2,70,45,0.00612397
10,3.4,70,45,0.01190185
12,2,70,45,-0.03214747
12,2.2,70,45,-0.0376327
12,2.4,70,45,-0.04207642
12,2.6,70,45,-0.04199222
12,2.8,70,45,-0.04004662
12,3,70,45,-0.03857281
12,3.2,70,45,-0.0362358
12,3.4,70,45,-0.0310958
14,2,70,45,-0.07706804
14,2.2,70,45,-0.08317992
14,2.4,70,45,-0.09121343
14,2.6,70,45,-0.09158553
14,2.8,70,45,-0.09314272
14,3,70,45,-0.09340141
14,3.2,70,45,-0.09244757
14,3.4,70,45,-0.08820005
16,2,70,45,-0.13747705
16,2.2,70,45,-0.14763629
16,2.4,70,45,-0.15679241
16,2.6,70,45,-0.16033979
16,2.8,70,45,-0.16322624
16,3,70,45,-0.16594358
16,3.2,70,45,-0.16529465
16,3.4,70,45,-0.16062931
18,2,70,45,-0.21798552
18,2.2,70,45,-0.23196632
18,2.4,70,45,-0.24058269
18,2.6,70,45,-0.24811581
18,2.8,70,45,-0.25197001
18,3,70,45,-0.25563497
18,3.2,70,45,-0.25702129
18,3.4,70,45,-0.2539102
20,2,70,45,-0.32167652
20,2.2,70,45,-0.33342265
20,2.4,70,45,-0.35288308
20,2.6,70,45,-0.35886079
20,2.8,70,45,-0.3664778
20,3,70,45,-0.37131537
20,3.2,70,45,-0.37258126
20,3.4,70,45,-0.36941685
4,2,70,50,0.02679644
4,2.2,70,50,0.03095243
4,2.4,70,50,0.03470526
4,2.6,70,50,0.03982894
4,2.8,70,50,0.04487475
4,3,70,50,0.05072604
4,3.2,70,50,0.05588886
4,3.4,70,50,0.06165951
6,2,70,50,0.02459915
6,2.2,70,50,0.02735625
6,2.4,70,50,0.02968523
6,2.6,70,50,0.03396485
6,2.8,70,50,0.03790214
6,3,70,50,0.04322994
6,3.2,70,50,0.04890057
6,3.4,70,50,0.05451288
8,2,70,50,0.01916986
8,2.2,70,50,0.01681216
8,2.4,70,50,0.01812765
8,2.6,70,50,0.02064717
8,2.8,70,50,0.02387384
8,3,70,50,0.02800231
8,3.2,70,50,0.03282205
8,3.4,70,50,0.03791896
10,2,70,50,0.00591396
10,2.2,70,50,-0.00168467
10,2.4,70,50,-0.00246148
10,2.6,70,50,-0.00188697
10,2.8,70,50,0.00015202
10,3,70,50,0.00302216
10,3.2,70,50,0.00664143
10,3.4,70,50,0.01106344
12,2,70,50,-0.01916664
12,2.2,70,50,-0.03117554
12,2.4,70,50,-0.03421113
12,2.6,70,50,-0.03474582
12,2.8,70,50,-0.03464878
12,3,70,50,-0.03252379
12,3.2,70,50,-0.03050147
12,3.4,70,50,-0.02663631
14,2,70,50,-0.0613151
14,2.2,70,50,-0.07296744
14,2.4,70,50,-0.07870934
14,2.6,70,50,-0.08064649
14,2.8,70,50,-0.08158092
14,3,70,50,-0.08111175
14,3.2,70,50,-0.07963708
14,3.4,70,50,-0.07718215
16,2,70,50,-0.11874434
16,2.2,70,50,-0.13142881
16,2.4,70,50,-0.13810722
16,2.6,70,50,-0.14146082
16,2.8,70,50,-0.14292551
16,3,70,50,-0.14333569
16,3.2,70,50,-0.1438715
16,3.4,70,50,-0.14163628
18,2,70,50,-0.19454467
18,2.2,70,50,-0.20652976
18,2.4,70,50,-0.21595722
18,2.6,70,50,-0.21807295
18,2.8,70,50,-0.22124187
18,3,70,50,-0.22325691
18,3.2,70,50,-0.22470009
18,3.4,70,50,-0.22294029
20,2,70,50,-0.29237873
20,2.2,70,50,-0.30108233
20,2.4,70,50,-0.31154961
20,2.6,70,50,-0.31611174
20,2.8,70,50,-0.32118712
20,3,70,50,-0.32368728
20,3.2,70,50,-0.32753307
20,3.4,70,50,-0.32503003
4,2,70,55,0.02407967
4,2.2,70,55,0.02787676
4,2.4,70,55,0.03085297
4,2.6,70,55,0.03544827
4,2.8,70,55,0.04002356
4,3,70,55,0.04499064
4,3.2,70,55,0.04980784
4,3.4,70,55,0.05518996
6,2,70,55,0.02292726
6,2.2,70,55,0.02497848
6,2.4,70,55,0.02730128
6,2.6,70,55,0.02999961
6,2.8,70,55,0.03468585
6,3,70,55,0.03922846
6,3.2,70,55,0.04374894
6,3.4,70,55,0.04904427
8,2,70,55,0.02035254
8,2.2,70,55,0.01649904
8,2.4,70,55,0.01695003
8,2.6,70,55,0.0191296
8,2.8,70,55,0.02217315
8,3,70,55,0.02543203
8,3.2,70,55,0.02976114
8,3.4,70,55,0.03457443
10,2,70,55,0.01091963
10,2.2,70,55,0.00365743
10,2.4,70,55,-0.00135027
10,2.6,70,55,-0.00079501
10,2.8,70,55,0.00156802
10,3,70,55,0.00375727
10,3.2,70,55,0.00708352
10,3.4,70,55,0.01103551
12,2,70,55,-0.00714751
12,2.2,70,55,-0.02221242
12,2.4,70,55,-0.02992317
12,2.6,70,55,-0.03021178
12,2.8,70,55,-0.02915475
12,3,70,55,-0.02794297
12,3.2,70,55,-0.02608547
12,3.4,70,55,-0.02299584
14,2,70,55,-0.03848085
14,2.2,70,55,-0.06172934
14,2.4,70,55,-0.07056796
14,2.6,70,55,-0.07151621
14,2.8,70,55,-0.0707182
14,3,70,55,-0.07079819
14,3.2,70,55,-0.07010972
14,3.4,70,55,-0.06774022
16,2,70,55,-0.09561379
16,2.2,70,55,-0.11627827
16,2.4,70,55,-0.1227393
16,2.6,70,55,-0.1255841
16,2.8,70,55,-0.12730386
16,3,70,55,-0.12719453
16,3.2,70,55,-0.12735674
16,3.4,70,55,-0.12561566
18,2,70,55,-0.171549
18,2.2,70,55,-0.18769118
18,2.4,70,55,-0.19434123
18,2.6,70,55,-0.19695977
18,2.8,70,55,-0.1972388
18,3,70,55,-0.19868635
18,3.2,70,55,-0.19994153
18,3.4,70,55,-0.197981
20,2,70,55,-0.26474065
20,2.2,70,55,-0.27320322
20,2.4,70,55,-0.28002529
20,2.6,70,55,-0.28470699
20,2.8,70,55,-0.2850457
20,3,70,55,-0.28794128
20,3.2,70,55,-0.28911622
20,3.4,70,55,-0.28820409
4,2,70,60,0.02190229
4,2.2,70,60,0.02524977
4,2.4,70,60,0.02860804
4,2.6,70,60,0.0322477
4,2.8,70,60,0.03660865
4,3,70,60,0.04036421
4,3.2,70,60,0.04517941
4,3.4,70,60,0.049682
6,2,70,60,0.0216962
6,2.2,70,60,0.02307286
6,2.4,70,60,0.02516772
6,2.6,70,60,0.02780688
6,2.8,70,60,0.03104814
6,3,70,60,0.03553885
6,3.2,70,60,0.03970245
6,3.4,70,60,0.04443432
8,2,70,60,0.02033527
8,2.2,70,60,0.01800977
8,2.4,70,60,0.0160823
8,2.6,70,60,0.01823617
8,2.8,70,60,0.02093479
8,3,70,60,0.023868
8,3.2,70,60,0.02745697
8,3.4,70,60,0.03165403
10,2,70,60,0.01370673
10,2.2,70,60,0.00845614
10,2.4,70,60,-0.00003575
10,2.6,70,60,0.00104052
10,2.8,70,60,0.00245679
10,3,70,60,0.00451914
10,3.2,70,60,0.00720542
10,3.4,70,60,0.01047456
12,2,70,60,-0.00200827
12,2.2,70,60,-0.01068507
12,2.4,70,60,-0.02486212
12,2.6,70,60,-0.02610391
12,2.8,70,60,-0.02587864
12,3,70,60,-0.02372934
12,3.2,70,60,-0.02207017
12,3.4,70,60,-0.01952827
14,2,70,60,-0.02680515
14,2.2,70,60,-0.04379209
14,2.4,70,60,-0.06176737
14,2.6,70,60,-0.0636744
14,2.8,70,60,-0.06413672
14,3,70,60,-0.06225782
14,3.2,70,60,-0.06179125
14,3.4,70,60,-0.05982456
16,2,70,60,-0.06653957
16,2.2,70,60,-0.09820737
16,2.4,70,60,-0.1114958
16,2.6,70,60,-0.11393883
16,2.8,70,60,-0.11456961
16,3,70,60,-0.11369303
16,3.2,70,60,-0.11337107
16,3.4,70,60,-0.1118297
18,2,70,60,-0.13586948
18,2.2,70,60,-0.16662531
18,2.4,70,60,-0.17409494
18,2.6,70,60,-0.17868933
18,2.8,70,60,-0.17958008
18,3,70,60,-0.1794
18,3.2,70,60,-0.17843569
